Result,Description,Lat,Lng,Image,Detail
与野駅東口住宅街にカーブミラーを設置,"見通しが悪い丁字路が危険性が高いと指摘がありました。
カーブミラーにより、安心して曲がれるようになりました。",35.882857,139.640410,no-image,http://www.sin1-inoue.jp/index.html
新中里4丁目住宅街にカーブミラーを設置,"見通しが悪い丁字路が危険性が高いと指摘がありました。
カーブミラーにより、安心して曲がれるようになりました。",35.879227,139.632130,no-image,http://www.sin1-inoue.jp/index.html
円阿弥７丁目住宅街にカーブミラーを設置,"見通しが悪い丁字路が危険性が高いと指摘がありました。
カーブミラーにより、安心して曲がれるようになりました。",35.896121,139.607638,no-image,http://www.sin1-inoue.jp/index.html
八王子３丁目住宅街にカーブミラーを設置,"見通しが悪い交差点の危険性が高いと指摘がありました。
カーブミラーにより、安心して曲がれるようになりました。",35.880906,139.612564,no-image,http://www.sin1-inoue.jp/index.html
八王子３丁目住宅街にカーブミラーを設置,"見通しが悪い交差点の危険性が高いと指摘がありました。
カーブミラーにより、安心して曲がれるようになりました。",35.880919,139.612561,no-image,http://www.sin1-inoue.jp/index.html
八王子３丁目住宅街にカーブミラーを3個設置,"見通しが悪い変則十字路が危険性が高いと指摘がありました。
カーブミラーにより、安心して曲がれるようになりました。",35.880884,139.613543,no-image,http://www.sin1-inoue.jp/index.html
桜丘2丁目住宅街にカーブミラーを２基設置,"見通しが悪い十字路が危険性が高いと指摘がありました。
カーブミラーにより、安心して曲がれるようになりました。",35.881730,139.613925,no-image,http://www.sin1-inoue.jp/index.html
いずみ高校民沙美川道路に街路灯を設置,当時はまわりに明かりがなく、夜は真っ暗。街灯が設置され、夜も安心して通れるようになりました。,35.893315,139.610912,no-image,http://www.sin1-inoue.jp/index.html
本町東７丁目住宅街に街路灯を設置,当時はまわりに明かりがなく、夜は真っ暗。街灯が設置され、夜も安心して通れるようになりました。,35.891349,139.620252,no-image,http://www.sin1-inoue.jp/index.html
本町西4丁目住宅街に街路灯5基を設置,当時はまわりに明かりがなく、夜は真っ暗。街灯が設置され、夜も安心して通れるようになりました。,35.888462,139.616023,no-image,http://www.sin1-inoue.jp/index.html
八王子5丁目住宅街の私道の街路灯を設置,私道のため、街灯がなく、夜の通行に危険を感じていました。設置後、夜も安心して通れるようになりました。,35.878914,139.605042,no-image,http://www.sin1-inoue.jp/index.html
鈴谷４丁目住宅街の私道の街路灯を設置,側溝が未整備で道路も傷んでいるとの相談がありました。側溝も整備され、道路もきれいになりました。,35.873051,139.621645,no-image,http://www.sin1-inoue.jp/index.html
八王子5丁目の住宅街に街路灯を設置,私道のため、街灯がなく、夜の通行に危険を感じていました。設置後、夜も安心して通れるようになりました。,35.878477,139.605229,no-image,http://www.sin1-inoue.jp/index.html
新中里３丁目の住宅街に街路灯を設置,当時はまわりに明かりがなく、夜は真っ暗。街灯が設置され、夜も安心して通れるようになりました。,35.876571,139.633252,no-image,http://www.sin1-inoue.jp/index.html
八王子5丁目の住宅街の道路補修,当時道路も傷み振動もひどい状況でした。側溝も未整備。道路がきれいになり振動も少なくなりました。,35.878914,139.605042,no-image,http://www.sin1-inoue.jp/index.html
里見通の道路補修,道路のひび割れがひどく、振動もあり、補修の相談がありました。きれいに整備され、振動もなくなりました。,35.874447,139.634566,no-image,http://www.sin1-inoue.jp/index.html
円阿弥5丁目の円阿弥通りの歩道補修,歩道が工事途中で放置されていた為、シルバーカーが押しづらいとの相談。舗装もきれいになり、シルバーカーも安全に通れるようになりました。,35.891378,139.608801,no-image,http://www.sin1-inoue.jp/index.html
円阿弥7丁目の市街地の道路補修,道路のわだちが大きく車の振動もひどいとの相談がありました。補修後、きれいに整備され振動もなくなりました。,35.894878,139.607799,no-image,http://www.sin1-inoue.jp/index.html
円阿弥7丁目の住宅地の側溝整備　,側溝未整備で、ふたが開いていて危険との相談がありました。側溝も再整備され、きれいになりました。,35.894302,139.609501,no-image,http://www.sin1-inoue.jp/index.html
上落合3丁目の八幡通りの道路補修,地中空間のため、道路が陥没し車が通れないとの相談がありました。危険な為、すぐに補修してもらいました。,35.891817,139.624270,no-image,http://www.sin1-inoue.jp/index.html
八王子5丁目の住宅地の道路整備,側溝が未整備で道路も傷んでいるとの相談がありました。側溝も整備され、道路もきれいになりました。,35.881160,139.604924,no-image,http://www.sin1-inoue.jp/index.html
大戸3丁目住宅街の道路整備,側溝が未整備で水たまりができるとの相談がありました。側溝も整備され、道路もきれいになりました。,35.865002,139.637965,no-image,http://www.sin1-inoue.jp/index.html
鈴谷８丁目の住宅地の道路整備,側溝が未整備で道路も傷んでいるとの相談がありました。側溝も整備され、道路もきれいになりました。,35.876366,139.625496,no-image,http://www.sin1-inoue.jp/index.html
八王子２丁目の住宅街の道路補修,当時道路も傷み振動もひどい状況でした。側溝も未整備。整備され、道路がきれいになり振動も少なくなりました。,35.884135,139.613076,no-image,http://www.sin1-inoue.jp/index.html
八王子３丁目の住宅街の道路補修,下水工事の不良で、道路に大きなコブがあるとの相談がありました。きれいに細微されました。,35.878734,139.612510,no-image,http://www.sin1-inoue.jp/index.html
飛び出し防止看板設置,,35.879218,139.605243,no-image,http://www.sin1-inoue.jp/index.html
桜丘1丁目住宅街の交差点に点滅鋲設置,車がスピードを出して通る交差点で安全対策をとの相談がありました。車が意識するようになりました。,35.878894,139.615698,no-image,http://www.sin1-inoue.jp/index.html
八王子3丁目の住宅街の道路安全対策でベンガラ舗装を実施,車がスピードを出して通る交差点で安全対策をとの相談がありました。車が意識するようになりました。,35.877745,139.610798,no-image,http://www.sin1-inoue.jp/index.html
上峰４丁目の住宅街の道路安全対策でベンガラ舗装を実施,車がスピードを出して通る交差点で安全対策をとの相談がありました。車が意識するようになりました。,35.876000,139.620369,no-image,http://www.sin1-inoue.jp/index.html
大戸2丁目住宅街の道路安全対策路面標示　3か所,新しい道ができ通り抜ける車が増えたため、危険との相談がありました。各種安全対策の路面標示が設置されました。,35.862980,139.635192,no-image,http://www.sin1-inoue.jp/index.html
八王子3丁目住宅街の水路整備,水路が使われなくなり、雑草が茂ってしまったとの相談がありました。砂利を敷き詰め、雑草が生えにくくなりました。,35.879147,139.611459,no-image,http://www.sin1-inoue.jp/index.html
下落合2丁目辰たつみ通りの下水道工事に伴う路振動対策,振動がすごく揺れて眠れないとの相談がありました。振動軽減対策が施され、振動が激減しました。,35.880753,139.634286,no-image,http://www.sin1-inoue.jp/index.html
下落合７丁目たつみ通りの縁石にオレンジポール設置,歩道の縁石が小さく見逃して自転車が転んだとの相談がありました。設置後、事故は無くなりました。,35.879464,139.629485,no-image,http://www.sin1-inoue.jp/index.html
障害者総合支援センター入り口の縁石にオレンジポール設置、縁石補修,歩道の縁石が小さく見逃して自転車が転んだとの相談がありました。設置後、事故は無くなりました。,35.874376,139.624750,no-image,http://www.sin1-inoue.jp/index.html
本町東７丁目私道の下水道を市管理へ移管,下水管の管理を市に移管してほしいとの相談がありました。手続きを協力し、無事に市に移管することができました。,35.874436,139.624762,no-image,http://www.sin1-inoue.jp/index.html
八王子５丁目の私道の下水道を市管理へ移管,下水管の管理を市に移管してほしいとの相談がありました。手続きを協力し、無事に市に移管することができました。,35.878914,139.605042,no-image,http://www.sin1-inoue.jp/index.html
鈴谷4丁目私道の街路灯設置,新築の住宅街で街灯が無くて暗いとの相談がありました。設置後、明るくなり安全になりました。,35.873056,139.621632,no-image,http://www.sin1-inoue.jp/index.html
私道の舗装（赤羽宅前）,水道工事工事跡がガタついているとの相談。工事前の状態に戻り感謝された。,35.877654,139.616092,no-image,http://www.sin1-inoue.jp/index.html
大戸5丁目住宅街の道路の補修,上下水道の工事準備のため、道路に入れられたカッター跡がひどいとの相談がありました。きれいに舗装され、喜んでいただきました。,35.870020,139.637500,no-image,http://www.sin1-inoue.jp/index.html
健康遊具の設置,老人会より八王子公園に健康遊具を設置してほしいとの相談がありました。地域で署名を集め市長へ要望し設置することができました。,35.879641,139.608973,no-image,http://www.sin1-inoue.jp/index.html
